t_s,E_proxy,discharge
0.0,0.03,0
0.1,0.030707,0
0.2,0.031,0
0.3,0.030707,0
0.4,0.03,0
0.5,0.029293,0
0.6,0.029,0
0.7,0.029293,0
0.8,0.06,0
0.9,0.1,0
1.0,0.14,0
1.1,0.18,0
1.2,0.22,0
1.3,0.26,0
1.4,0.3,0
1.5,0.34,0
1.6,0.38,0
1.7,0.42,0
1.8,0.46,0
1.9,0.5,0
2.0,0.54,0
2.1,0.58,0
2.2,0.62,0
2.3,0.66,0
2.4,0.7,0
2.5,0.74,0
2.6,0.74,0
2.7,0.744702,0
2.8,0.747608,0
2.9,0.747608,0
3.0,0.744702,0
3.1,0.74,0
3.2,0.735298,0
3.3,0.732392,0
3.4,0.732392,0
3.5,0.735298,0
3.6,0.74,0
3.7,0.744702,0
3.8,0.747608,0
3.9,0.747608,0
4.0,0.744702,0
4.1,0.32,1
4.2,0.34,0
4.3,0.39,0
4.4,0.44,0
4.5,0.49,0
4.6,0.54,0
4.7,0.59,0
4.8,0.64,0
4.9,0.69,0
5.0,0.74,0
5.1,0.74,0
5.2,0.74495,0
5.3,0.747,0
5.4,0.74495,0
5.5,0.74,0
5.6,0.73505,0
5.7,0.733,0
5.8,0.73505,0
5.9,0.74,0
